model,grid,seed,regime,num_layers,hidden,learning_rate,normalize,nrmse,mse,mae,nrmse_P,nrmse_Q,nrmse_V,nrmse_theta,mse_P,mse_Q,mse_V,mse_theta,mae_P,mae_Q,mae_V,mae_theta
gcn,IEEE39,0,A,2,128,0.001,pu_zscore,0.0134609034284949,275.5773010253906,1.8871915340423584,0.002144759055227,0.0169496610760688,0.0398973226547241,0.0376839898526668,39.16846466064453,1047.3995361328125,0.0001019647534121,15.74115753173828,0.5020756125450134,5.602689743041992,0.0026281964965164,1.4413734674453735
gcn,IEEE39,100,A,2,128,0.001,pu_zscore,0.0160004496574401,389.3671875,2.9214274883270264,0.004771776497364,0.0191746987402439,0.0364290438592433,0.045695312321186,193.88296508789065,1340.4403076171875,8.500766853103414e-05,23.145479202270508,1.3962104320526123,8.517457962036133,0.0028304383158683,1.7692115306854248
gcn,IEEE39,300,A,2,128,0.001,pu_zscore,0.0134974485263228,277.07568359375,1.8736275434494016,0.0028685147408396,0.016751006245613,0.040009181946516,0.0370877683162689,70.06379699707031,1022.9918823242188,0.0001025372985168,15.246996879577637,0.8076947331428528,5.533913612365723,0.0024642369244247,1.1504374742507937
gcn,IEEE39,700,A,2,128,0.001,pu_zscore,0.0140511523932218,300.2748413085937,2.136399507522583,0.0037997444160282,0.0170727726072073,0.0400562398135662,0.0373827405273914,122.9386215209961,1062.670166015625,0.0001027786493068,15.490489959716797,1.1818665266036987,6.119203090667725,0.0025126663967967,1.2420154809951782
gcn,IEEE39,1000,A,2,128,0.001,pu_zscore,0.0409187413752079,2546.47607421875,7.232842922210693,0.024552458897233,0.0371045693755149,0.0565199740231037,0.0550589263439178,5132.97900390625,5019.3232421875,0.0002046286535914,33.603023529052734,10.31485366821289,15.515600204467772,0.0066864183172583,3.094231605529785
gcn,IEEE118,0,A,2,128,0.001,pu_zscore,0.0054184305481612,165.3983154296875,1.387210726737976,0.0023355283774435,0.0066817104816436,0.0042745727114379,0.0199433993548154,207.778564453125,441.1160888671875,8.0304567973144e-07,12.698565483093262,0.9704792499542236,3.0079233646392822,0.000348096655216,1.570091724395752
gcn,IEEE118,100,A,2,128,0.001,pu_zscore,0.005750305019319,186.27981567382807,1.831222653388977,0.0010280822170898,0.0082771098241209,0.0130451172590255,0.0295833740383386,40.26115417480469,676.9163818359375,7.479125997633673e-06,27.94162940979004,0.5496898293495178,4.260863304138184,0.0007629430037923,2.5135746002197266
gcn,IEEE118,300,A,2,128,0.001,pu_zscore,0.0039524785242974,88.00818634033203,1.190609574317932,0.0017014280892908,0.004818333312869,0.0043782563880085,0.019687196239829,110.2700653076172,229.3883209228516,8.424755719715904e-07,12.374396324157717,0.7004265189170837,2.343736410140991,0.00042229850078,1.7178531885147097
gcn,IEEE118,700,A,2,128,0.001,pu_zscore,0.0059773907996714,201.2831115722656,1.9550997018814087,0.0010018448811024,0.008624673821032,0.0131420763209462,0.0316299423575401,38.232383728027344,734.958740234375,7.590717814309755e-06,31.94133949279785,0.5375556945800781,4.759854793548584,0.0007319338619709,2.522256135940552
gcn,IEEE118,1000,A,2,128,0.001,pu_zscore,0.0149015830829739,1250.9755859375,4.6635422706604,0.0078723765909671,0.0161311067640781,0.0200278125703334,0.0475451536476612,2360.70751953125,2571.022705078125,1.7628764908295125e-05,72.17201232910156,3.80068564414978,9.486733436584473,0.0015014637028798,5.365249156951904
