model,train_grid,test_grid,unseen,seed,regime,num_layers,hidden,learning_rate,nrmse,mse,mae,nrmse_P,nrmse_Q,nrmse_V,nrmse_theta,mse_P,mse_Q,mse_V,mse_theta,mae_P,mae_Q,mae_V,mae_theta
transformer,IEEE118,IEEE24,True,700,B,2,128,0.001,9.661797523498535,54786012.0,1684.97412109375,0.087039478123188,18.538265228271484,26.03373336791992,9.950846672058104,35788.70703125,218236592.0,14.894083976745604,871638.0,36.137882232666016,6205.10498046875,1.8067047595977783,496.8468322753906
transformer,IEEE118,IEEE39,True,700,B,2,128,0.001,10.330463409423828,173305872.0,3167.433349609375,0.0899334773421287,12.894895553588867,27.092811584472656,13.92324447631836,69794.265625,690265344.0,56.66160202026367,2888320.25,40.657413482666016,11726.7939453125,4.311401844024658,897.9710693359375
transformer,IEEE118,IEEE118,False,700,B,2,128,0.001,0.0151012372225523,1310.2841796875,7.453007698059082,0.0053443936631083,0.0191127713769674,1.275815486907959,0.1093880832195282,1098.48779296875,3755.8662109375,0.0985488146543502,386.6842346191406,2.0583016872406006,13.338862419128418,0.1877624541521072,14.227105140686035
transformer,IEEE118,UK,True,700,B,2,128,0.001,5.558595657348633,8369403392.0,23384.29296875,0.2002580314874649,10.884658813476562,1407.5068359375,61.896366119384766,95875464.0,33250371584.0,3132.239990234375,131359432.0,1793.0999755859375,83936.1796875,18.13159942626953,7789.7626953125
transformer,IEEE118,IEEE24,True,1000,B,2,128,0.001,10.928144454956056,70088488.0,2567.66552734375,0.438101977109909,20.88265991210937,441.12347412109375,16.91538429260254,906700.5625,276924224.0,4276.2314453125,2518719.25,103.30746459960938,9061.421875,34.4587516784668,1071.4739990234375
transformer,IEEE118,IEEE39,True,1000,B,2,128,0.001,7.844996929168701,99944568.0,2598.984375,0.0902349576354026,9.766469955444336,258.9976501464844,15.841313362121582,70262.984375,395963904.0,5178.1220703125,3738925.25,40.79710388183594,8920.8427734375,37.43062973022461,1396.8673095703125
transformer,IEEE118,IEEE118,False,1000,B,2,128,0.001,0.0102093620225787,598.8770751953125,3.4726569652557373,0.0021849619224667,0.0143971843644976,0.6469752788543701,0.0499746017158031,183.60568237304688,2131.16943359375,0.0253425911068916,80.70772552490234,0.6874039173126221,6.926026344299316,0.0875226482748985,6.189675807952881
transformer,IEEE118,UK,True,1000,B,2,128,0.001,10.591958045959473,30389030912.0,57211.1796875,0.1848092675209045,20.736270904541016,16200.3642578125,152.37265014648438,81653552.0,120678006784.0,414957.46875,796058496.0,1613.902099609375,205155.46875,209.4251251220703,21865.86328125
transformer,UK,IEEE24,True,0,B,2,128,0.001,0.0802327916026115,3777.962158203125,18.25035858154297,0.0409319475293159,0.1027105823159217,26.804452896118164,0.2340332865715026,7914.76904296875,6699.1513671875,15.789005279541016,482.1379089355469,14.987797737121582,38.120235443115234,1.515080809593201,18.378318786621094
transformer,UK,IEEE39,True,0,B,2,128,0.001,0.1413653343915939,32453.341796875,40.74046325683594,0.0938364937901496,0.1115845814347267,16.64699935913086,0.3772459626197815,75983.703125,51687.8828125,21.39205741882324,2120.379638671875,42.54766082763672,77.99870300292969,2.828068256378174,39.58742904663086
transformer,UK,IEEE118,True,0,B,2,128,0.001,0.1028092056512832,60730.16796875,51.42764663696289,0.069331593811512,0.0680673718452453,5.314307689666748,0.5676964521408081,184867.59375,47636.59765625,1.7098931074142456,10414.748046875,39.15817642211914,70.1166000366211,0.5647218227386475,95.87109375
transformer,UK,UK,False,0,B,2,128,0.001,0.0063288249075412,10849.51953125,19.71082305908203,0.0011580603895708,0.0119433552026748,27.52828788757324,0.067785307765007,3206.195556640625,40033.1328125,1.1981536149978638,157.54405212402344,6.05668306350708,63.280181884765625,0.2817364633083343,9.224690437316896
transformer,UK,IEEE24,True,100,B,2,128,0.001,0.1555952280759811,14208.4384765625,25.015485763549805,0.102483369410038,0.1037809997797012,33.53779602050781,0.2004507035017013,49615.83203125,6839.51220703125,24.717803955078125,353.6969299316406,43.428409576416016,39.73157501220703,2.168812990188598,14.733135223388672
transformer,UK,IEEE39,True,100,B,2,128,0.001,0.152037501335144,37538.3359375,48.28653335571289,0.0926350131630897,0.1331831961870193,11.695297241210938,0.4061921834945678,74050.3828125,73634.1328125,10.558523178100586,2458.25830078125,41.78844451904297,106.3483428955078,1.469372034072876,43.53997421264648
transformer,UK,IEEE118,True,100,B,2,128,0.001,0.0989872440695762,56298.77734375,48.48479461669922,0.0681730285286903,0.059634905308485,3.444327116012573,0.5531756281852722,178740.765625,36564.85546875,0.7182645201683044,9888.775390625,38.4825325012207,61.14033508300781,0.5645025372505188,93.75177764892578
transformer,UK,UK,False,100,B,2,128,0.001,0.0064698443748056,11338.40625,17.98090171813965,0.0016748309135437,0.0117165939882397,52.38447952270508,0.0581168830394744,6706.09228515625,38527.390625,4.3386969566345215,115.80719757080078,7.501511096954346,57.253414154052734,0.5103479623794556,6.658322811126709
transformer,UK,IEEE24,True,300,B,2,128,0.001,0.2002929747104644,23544.26953125,35.483455657958984,0.0883736088871955,0.2989304363727569,8.1266450881958,0.2467856407165527,36894.24609375,56745.265625,1.451321005821228,536.1123657226562,36.451202392578125,87.16278839111328,0.6991973519325256,17.620647430419922
transformer,UK,IEEE39,True,300,B,2,128,0.001,0.1442885547876358,33809.390625,47.0322380065918,0.0830386728048324,0.133397102355957,5.342389106750488,0.3534810245037079,59502.84375,73870.8515625,2.20318865776062,1861.6436767578125,37.27919769287109,112.78089904785156,1.0068323612213137,37.062042236328125
transformer,UK,IEEE118,True,300,B,2,128,0.001,0.1024113520979881,60261.05078125,49.90937042236328,0.0686752125620842,0.0693794935941696,2.84328556060791,0.5609609484672546,181383.75,49490.87109375,0.4894593358039856,10169.0791015625,38.77559280395508,65.34379577636719,0.4952261745929718,95.02285766601562
transformer,UK,UK,False,300,B,2,128,0.001,0.0076725990511476,15945.912109375,20.275314331054688,0.00269166380167,0.0128308665007352,25.013071060180664,0.0867253690958023,17320.8515625,46203.921875,0.9892090559005736,257.8833312988281,6.928817272186279,63.926368713378906,0.2229274213314056,10.023140907287598
