model,held_out_grid,seed,regime,num_layers,hidden,learning_rate,nrmse,mse,mae,nrmse_P,nrmse_Q,nrmse_V,nrmse_theta,mse_P,mse_Q,mse_V,mse_theta,mae_P,mae_Q,mae_V,mae_theta
transformer,IEEE118,300,B,2,128,0.001,0.1027773842215538,60692.578125,50.45919418334961,0.0693466886878013,0.0672244280576706,1.6059294939041138,0.5928476452827454,184948.09375,46464.046875,0.1561451852321624,11358.0185546875,39.16533279418945,61.931640625,0.269446849822998,100.47036743164062
transformer,IEEE118,700,B,2,128,0.001,0.1029677838087081,60917.6640625,50.369930267333984,0.0695860162377357,0.0668752342462539,2.2654426097869877,0.595524251461029,186226.890625,45982.58984375,0.3107289373874664,11460.810546875,39.30195999145508,60.72850799560547,0.3604124188423157,101.08885955810548
transformer,IEEE118,1000,B,2,128,0.001,0.1026149913668632,60500.94140625,48.94190216064453,0.0694547221064567,0.0670531615614891,0.7604990005493164,0.5632256269454956,185524.8125,46227.6015625,0.0350165106356143,10251.353515625,39.22698593139648,61.677207946777344,0.1176321804523468,94.74576568603516
transformer,UK,0,B,2,128,0.001,0.2564833760261535,17818978.0,918.1962890625,0.0843005329370498,0.4355577826499939,55.58498001098633,5.517013549804688,16989796.0,53242496.0,4.885049343109131,1043611.875,715.337158203125,2354.812255859375,0.7701214551925659,601.8655395507812
transformer,UK,100,B,2,128,0.001,0.1513459533452987,6204487.5,609.0100708007812,0.0893972367048263,0.1151174679398536,61.834434509277344,7.623108386993408,19106264.0,3719198.0,6.045258522033691,1992485.25,751.0573120117188,1052.1309814453125,0.8234236836433411,632.0282592773438
transformer,UK,300,B,2,128,0.001,0.1605356186628341,6980830.5,621.9483032226562,0.0916219353675842,0.1618175059556961,86.86746215820312,3.839490413665772,20069036.0,7348824.5,11.930766105651855,505449.9375,770.4418334960938,1244.38330078125,1.190028429031372,471.7784118652344
transformer,UK,700,B,2,128,0.001,0.1375211477279663,5122751.0,570.40234375,0.0424439944326877,0.2365196943283081,148.8128662109375,3.757332801818848,4306853.5,15700065.0,35.013458251953125,484050.0625,331.7938842773437,1432.931640625,1.9899661540985107,514.89404296875
transformer,UK,1000,B,2,128,0.001,0.1601078510284423,6943678.5,633.1004638671875,0.0884239971637725,0.1774484813213348,269.62994384765625,2.672825813293457,18692520.0,8837133.0,114.94505310058594,244947.09375,742.7901611328125,1412.010498046875,2.9450550079345703,374.6560668945313
arma_gnn,IEEE24,0,B,8,128,0.001,0.1565638929605484,14385.8984375,25.68768882751465,0.1011449694633483,0.1176626831293106,4.027470111846924,0.2192901372909546,48328.35546875,8791.5791015625,0.3564557135105133,423.3058166503906,42.95436096191406,42.77633285522461,0.3236691355705261,16.696386337280273
arma_gnn,IEEE39,0,B,8,128,0.001,0.1045397445559501,17747.470703125,33.91464614868164,0.0586453154683113,0.0956148132681846,9.505955696105955,0.4743632972240448,29678.61328125,37951.65234375,6.97545051574707,3352.63720703125,25.62884330749512,65.21887969970703,1.3324469327926636,43.47841644287109
arma_gnn,IEEE118,0,B,8,128,0.001,0.1023842096328735,60229.11328125,48.12854766845703,0.0693768635392189,0.0670695081353187,1.137828350067139,0.5438217520713806,185109.0625,46250.13671875,0.0783843100070953,9557.1767578125,39.1821403503418,61.28747177124024,0.1887666583061218,91.85582733154295
arma_gnn,UK,0,B,8,128,0.001,0.1484158337116241,5966571.0,594.3504028320312,0.0899807810783386,0.1228870525956153,122.36327362060548,2.814371109008789,19356510.0,4238177.0,23.67316055297852,271577.4375,754.1671752929688,1192.0184326171875,1.5138508081436155,429.7025451660156
arma_gnn,IEEE24,100,B,8,128,0.001,0.1518752425909042,13537.16796875,23.92714500427246,0.0982951819896698,0.1136039793491363,2.480473041534424,0.1875455528497696,45643.390625,8195.51953125,0.1352103352546692,309.62042236328125,41.82388305664063,39.58221054077149,0.199435144662857,14.103046417236328
arma_gnn,IEEE39,100,B,8,128,0.001,0.1363310366868972,30183.044921875,41.06103515625,0.092910848557949,0.0974074378609657,8.745162010192871,0.677864134311676,74492.0234375,39388.05859375,5.903591632843018,6846.20263671875,42.3867301940918,66.00699615478516,1.6252527236938477,54.225135803222656
arma_gnn,IEEE118,100,B,8,128,0.001,0.1020781397819519,59869.54296875,47.57977294921875,0.0692832544445991,0.0665814653038978,1.1201512813568115,0.5361288189888,184609.90625,45579.4921875,0.0759677067399025,9288.6953125,39.12919235229492,60.76912689208984,0.1793265789747238,90.241455078125
arma_gnn,UK,100,B,8,128,0.001,0.1494316458702087,6048525.0,627.3965454101562,0.0900483056902885,0.1269079893827438,51.3071403503418,2.9004929065704346,19385576.0,4520065.5,4.162072658538818,288452.625,754.3319091796875,1327.1632080078125,0.4981730580329895,427.5929260253906
arma_gnn,IEEE24,1000,B,8,128,0.001,0.1501585692167282,13232.8701171875,24.765544891357425,0.096218891441822,0.117897056043148,2.7911415100097656,0.2047845721244812,43735.5078125,8826.6376953125,0.1712003350257873,369.156494140625,41.04979705810547,42.55464553833008,0.2550507187843323,15.202685356140137
arma_gnn,IEEE39,1000,B,8,128,0.001,0.1217357069253921,24066.3125,34.740482330322266,0.0819676145911216,0.093801662325859,6.111490249633789,0.3435641527175903,57977.78125,36525.94140625,2.8832011222839355,1758.65283203125,37.02842712402344,64.9544448852539,0.91811341047287,36.06094741821289
arma_gnn,IEEE118,1000,B,8,128,0.001,0.1023373678326606,60174.015625,47.7812614440918,0.0694241449236869,0.0669052302837371,2.219449520111084,0.5367564558982849,185361.484375,46023.85546875,0.2982402145862579,9310.455078125,39.20896530151367,61.03867721557617,0.3818739652633667,90.49552154541016
arma_gnn,UK,1000,B,8,128,0.001,0.1467639207839965,5834491.0,580.4349975585938,0.0900527834892273,0.1130835935473442,84.94808197021484,3.24711275100708,19387502.0,3588938.75,11.409358978271484,361514.5,754.93994140625,1069.6976318359375,1.064272165298462,496.038330078125
arma_gnn,IEEE24,300,B,8,128,0.001,0.1542406976222992,13962.1328125,24.97538375854492,0.0996077358722686,0.116050012409687,2.7011313438415527,0.219893142580986,46870.49609375,8552.2373046875,0.1603364497423172,425.6370544433594,42.33906555175781,40.31632995605469,0.2077354937791824,17.03841209411621
arma_gnn,IEEE39,300,B,8,128,0.001,0.1386836469173431,31233.751953125,38.50310134887695,0.0898573026061058,0.1132157072424888,9.952509880065918,0.3701365292072296,69676.0859375,53210.0546875,7.646204471588135,2041.2127685546875,40.59254455566406,74.94285583496094,1.4182981252670288,37.0587158203125
arma_gnn,IEEE118,300,B,8,128,0.001,0.1023117080330848,60143.84375,47.8759651184082,0.0693861246109008,0.0668864101171493,0.8020609617233276,0.5398724675178528,185158.515625,45997.95703125,0.038948468863964,9418.869140625,39.187744140625,61.11246871948242,0.1292692124843597,91.07437133789062
arma_gnn,UK,300,B,8,128,0.001,0.1470015048980713,5853396.0,587.6124877929688,0.0896647423505783,0.1170452013611793,73.51191711425781,3.185819625854492,19220780.0,3844803.0,8.544163703918457,347995.25,750.7593383789062,1132.260986328125,0.9305098056793212,466.4990234375
